Manchester by the Sea,2016,2017,https://letterboxd.com/film/manchester-by-the-sea/,4.1,894310
Moonlight,2016,2017,https://letterboxd.com/film/moonlight-2016/,4.2,1265864
Call Me by Your Name,2017,2018,https://letterboxd.com/film/call-me-by-your-name/,3.9,2462080
Darkest Hour,2017,2018,https://letterboxd.com/film/darkest-hour/,3.5,239882
Dunkirk,2017,2018,https://letterboxd.com/film/dunkirk-2017/,3.8,1644767
Get Out,2017,2018,https://letterboxd.com/film/get-out-2017/,4.1,3732633
Lady Bird,2017,2018,https://letterboxd.com/film/lady-bird/,3.8,2658886
Phantom Thread,2017,2018,https://letterboxd.com/film/phantom-thread/,4.2,550497
The Post,2017,2018,https://letterboxd.com/film/the-post-2017/,3.5,216746
The Shape of Water,2017,2018,https://letterboxd.com/film/the-shape-of-water/,3.7,952653
"Three Billboards outside Ebbing, Missouri",2017,2018,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,4.1,759017
Black Panther,2018,2019,https://letterboxd.com/film/black-panther/,3.7,2446896
BlacKkKlansman,2018,2019,https://letterboxd.com/film/blackkklansman/,3.9,1041642
Bohemian Rhapsody,2018,2019,https://letterboxd.com/film/bohemian-rhapsody/,3.5,1594858
The Favourite,2018,2019,https://letterboxd.com/film/the-favourite/,4.0,853660
Green Book,2018,2019,https://letterboxd.com/film/green-book/,3.8,963791
Roma,2018,2019,https://letterboxd.com/film/roma-2018/,4.1,442735
A Star Is Born,2018,2019,https://letterboxd.com/film/a-star-is-born-2018/,3.6,993506
Vice,2018,2019,https://letterboxd.com/film/vice-2018/,3.5,273853
Ford v Ferrari,2019,2020,https://letterboxd.com/film/ford-v-ferrari/,4.0,884547
The Irishman,2019,2020,https://letterboxd.com/film/the-irishman-2019/,3.9,837126
Jojo Rabbit,2019,2020,https://letterboxd.com/film/jojo-rabbit/,4.0,1977969
Joker,2019,2020,https://letterboxd.com/film/joker-2019/,3.8,4017432
Little Women,2019,2020,https://letterboxd.com/film/little-women-2019/,4.2,2364560
Marriage Story,2019,2020,https://letterboxd.com/film/marriage-story-2019/,4.0,1273265
1917,2019,2020,https://letterboxd.com/film/1917/,4.1,1682782
Parasite,2019,2020,https://letterboxd.com/film/parasite-2019/,4.5,4543355
The Father,2020,2021,https://letterboxd.com/film/the-father-2020/,4.3,390204
Mank,2020,2021,https://letterboxd.com/film/mank/,3.3,210993
Minari,2020,2021,https://letterboxd.com/film/minari/,4.1,488499
Nomadland,2020,2021,https://letterboxd.com/film/nomadland/,3.8,498578
Promising Young Woman,2020,2021,https://letterboxd.com/film/promising-young-woman/,3.7,728969
The Trial of the Chicago 7,2020,2021,https://letterboxd.com/film/the-trial-of-the-chicago-7/,3.8,395242
Belfast,2021,2022,https://letterboxd.com/film/belfast/,3.5,229237
CODA,2021,2022,https://letterboxd.com/film/coda-2021/,3.9,393930
Don't Look Up,2021,2022,https://letterboxd.com/film/dont-look-up-2021/,3.0,2133480
Drive My Car,2021,2022,https://letterboxd.com/film/drive-my-car/,4.2,352330
Dune,2021,2022,https://letterboxd.com/film/dune-2021/,3.9,3454752
King Richard,2021,2022,https://letterboxd.com/film/king-richard/,3.7,313898
Licorice Pizza,2021,2022,https://letterboxd.com/film/licorice-pizza/,3.6,726342
Nightmare Alley,2021,2022,https://letterboxd.com/film/nightmare-alley-2021/,3.4,379238
The Power of the Dog,2021,2022,https://letterboxd.com/film/the-power-of-the-dog/,3.7,488355
West Side Story,2021,2022,https://letterboxd.com/film/west-side-story-2021/,3.6,435086
All Quiet on the Western Front,2022,2023,https://letterboxd.com/film/all-quiet-on-the-western-front-2022/,4.1,945489
Avatar: The Way of Water,2022,2023,https://letterboxd.com/film/avatar-the-way-of-water/,3.6,1953345
The Banshees of Inisherin,2022,2023,https://letterboxd.com/film/the-banshees-of-inisherin/,4.1,1109243
Elvis,2022,2023,https://letterboxd.com/film/elvis-2022/,3.4,1004487
Everything Everywhere All at Once,2022,2023,https://letterboxd.com/film/everything-everywhere-all-at-once/,4.3,3444726
The Fabelmans,2022,2023,https://letterboxd.com/film/the-fabelmans/,4.0,552589
Tár,2022,2023,https://letterboxd.com/film/tar-2022/,3.9,588043
